Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%
Fotios Adamidis,deGER,GK,MSV Duisburg,17.0,2006,21,21,1890,21.0,50,2.38,,,,4.0,5.0,12.0,3,14.3,2,2,0,0,0.0
Alon Albus,deGER,GK,SV Gonsenheim,17.0,2006,1,1,90,1.0,5,5.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Jul Amin Bouakran,deGER,GK,Hennef,,,1,1,90,1.0,1,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Bryan Atchoffo,deGER,GK,Ingolstadt,16.0,2007,4,4,360,4.0,7,1.75,,,,3.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Emil Aumann,deGER,GK,Darmstadt 98,17.0,2007,2,2,180,2.0,4,2.0,,,,1.0,0.0,1.0,0,0.0,0,0,0,0,
Louis Babatz,deGER,GK,Mainz 05,18.0,2006,17,17,1530,17.0,21,1.24,,,,8.0,4.0,5.0,4,23.5,2,2,0,0,0.0
David Baizel,deGER,GK,Saarbrücken,16.0,2008,1,1,90,1.0,2,2.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Jannis Bärtl,deGER,GK,Karlsruher,18.0,2006,23,23,2070,23.0,16,0.7,,,,17.0,3.0,3.0,10,43.5,2,2,0,0,0.0
Kim Bayer,deGER,GK,Stuttgarter Kickers,17.0,2007,3,3,270,3.0,3,1.0,,,,1.0,2.0,0.0,1,33.3,1,1,0,0,0.0
Ruben Beck,deGER,GK,Freiburg,17.0,2007,1,0,11,0.1,0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Darian Beer,deGER,GK,Hansa Rostock,16.0,2008,1,1,90,1.2,2,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Juri Behr,deGER,GK,St Pauli,18.0,2006,18,18,1530,17.0,35,2.06,,,,5.0,6.0,7.0,3,16.7,5,5,0,0,0.0
Etienne Birkhofer,deGER,GK,Reutlingen,17.0,2007,5,5,450,5.0,9,1.8,,,,1.0,3.0,1.0,0,0.0,0,0,0,0,
Finley Bishop,deGER,GK,Berliner AK,17.0,2007,1,1,84,0.9,3,3.21,,,,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Nick Bodon,deGER,GK,Schalke 04,17.0,2007,3,1,135,1.5,0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Clemens Boldt,deGER,GK,Chemnitzer,17.0,2006,16,16,1440,16.0,27,1.69,,,,7.0,2.0,7.0,6,37.5,3,3,0,0,0.0
Benedikt Börner,deGER,GK,Wolfsburg,18.0,2006,12,12,1080,12.0,13,1.08,,,,8.0,3.0,1.0,4,33.3,0,0,0,0,
Billy-Bob Bracher,deGER,GK,Unterhaching,16.0,2007,2,2,180,2.0,5,2.5,,,,1.0,0.0,1.0,0,0.0,0,0,0,0,
Damjan Brajović,deGER,GK,Schott Mainz,17.0,2007,10,10,900,10.0,23,2.3,,,,5.0,0.0,5.0,2,20.0,4,4,0,0,0.0
Julian Brätz,deGER,GK,Hamburger SV,17.0,2006,4,4,360,4.0,7,1.75,,,,2.0,2.0,0.0,1,25.0,0,0,0,0,
Lutz Breuers,deGER,GK,Preußen Münster,16.0,2007,3,3,270,3.0,10,3.33,,,,1.0,0.0,2.0,0,0.0,1,1,0,0,0.0
