Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%
Daris Agović,deGER,GK,Mainz 05,,2008,7,7,630,7.0,10,1.43,,,,4,3,0,2,28.6,0,0,0,0,
Bryan Atchoffo,deGER,GK,Ingolstadt,,2007,12,12,1035,11.5,22,1.91,,,,6,1,5,1,8.3,2,2,0,0,0.0
Emil Aumann,deGER,GK,Darmstadt 98,,2007,1,1,90,1.0,2,2.0,,,,1,0,0,0,0.0,0,0,0,0,
Berkay Avcu,deGER,GK,Blumenthaler,,2008,3,3,224,2.5,11,4.42,,,,0,0,3,0,0.0,2,2,0,0,0.0
David Baizel,deGER,GK,Saarbrücken,,2008,5,5,450,5.0,13,2.6,,,,0,2,3,1,20.0,0,0,0,0,
Nico Biedermann,deGER,GK,Hoffenheim,,2008,10,10,900,10.0,13,1.3,,,,7,2,1,2,20.0,2,2,0,0,0.0
Lowe Bjerlestam,deGER,GK,Rot-Weiß Oberhausen,,2008,10,10,900,10.0,16,1.6,,,,5,3,2,1,10.0,2,2,0,0,0.0
Nick Bodon,deGER,GK,Schalke 04,,2007,13,13,1170,13.0,16,1.23,,,,9,2,2,4,30.8,0,0,0,0,
Damjan Brajović,deGER,GK,Schott Mainz,,2007,7,7,630,7.0,37,5.29,,,,0,0,7,0,0.0,3,3,0,0,0.0
Florian Brück,deGER,GK,Elversberg,,2008,2,2,180,2.0,4,2.0,,,,0,0,2,0,0.0,1,1,0,0,0.0
Bjarne Bünger,deGER,GK,Meppen,,2008,14,14,1260,14.0,32,2.29,,,,5,2,7,2,14.3,2,2,0,0,0.0
Gabriel Burger,deGER,GK,Jahn Regensburg,,2008,1,1,90,1.0,5,5.0,,,,0,0,1,0,0.0,1,1,0,0,0.0
Simeon Castano Bader,deGER,GK,Karlsruher,,2007,2,2,180,2.0,8,4.0,,,,0,0,2,0,0.0,3,3,0,0,0.0
Alexander Coenen,deGER,GK,Unterhaching,,2008,4,4,360,4.0,19,4.75,,,,0,1,3,0,0.0,3,3,0,0,0.0
Felix Daffner,deGER,GK,RB Leipzig,,2007,1,1,90,1.0,0,0.0,,,,1,0,0,1,100.0,0,0,0,0,
Tugra Demirhan,,GK,Viktoria Berlin,,2007,6,6,495,5.5,20,3.64,,,,3,0,3,1,16.7,1,1,0,0,0.0
Fernando Dickes,deGER,GK,Hamburger SV,,2007,10,10,900,10.0,11,1.1,,,,9,1,0,2,20.0,2,2,0,0,0.0
Robin Dittrich,deGER,GK,Stuttgart,,2007,2,2,180,2.0,4,2.0,,,,1,0,1,0,0.0,0,0,0,0,
Philipp Dominiković,deGER,GK,Sandhausen,,2008,6,6,540,6.0,19,3.17,,,,2,0,4,0,0.0,3,3,0,0,0.0
Niklas Dortmann,deGER,GK,Viktoria Köln,,2008,3,3,270,3.0,3,1.0,,,,2,0,1,1,33.3,0,0,0,0,
Mauricio Dunker,deGER,GK,1860 Munich,,2007,9,9,810,9.0,16,1.78,,,,4,0,5,2,22.2,0,0,0,0,
Darijo Ebert,deGER,GK,Hoffenheim,,2008,2,2,180,2.0,0,0.0,,,,1,1,0,2,100.0,0,0,0,0,
Philipp Eckle,deGER,GK,Augsburg,,2009,4,4,360,4.0,6,1.5,,,,3,0,1,2,50.0,0,0,0,0,
