  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
1,Levi Aalders,nl NED,GK,Alemannia Aachen,15,2001,10,10,900,10,0,,,0,0,0,0,0,0,,,0,,Matches
2,Amir Abdijanovic,at AUT,FW,Wolfsburg,16,2001,19,19,1532,17,10,,,10,0,0,4,0,0.59,,,0.59,,Matches
3,Magnus Abels,de GER,"MF,DF",Unterrath U17,16,2001,11,11,890,9.9,0,,,0,0,0,0,0,0,,,0,,Matches
4,Jeremy Aboagye,de GER,DF,Dortmund,16,2001,2,1,104,1.2,0,,,0,0,0,0,0,0,,,0,,Matches
5,Muhammed AcikgÃ¶z,de GER,MF,PreuÃen MÃ¼nster,16,2001,1,0,16,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
6,Daniel Adamczyk,de GER,GK,KÃ¶ln,15,2002,23,23,2070,23,0,,,0,0,0,1,0,0,,,0,,Matches
7,Maximilian Adamski,de GER,MF,Bochum,15,2002,1,0,21,0.2,0,,,0,0,0,0,0,0,,,0,,Matches
8,Karim Adeyemi,de GER,"FW,MF",Unterhaching,15,2002,15,15,1274,14.2,15,,,13,2,2,4,0,1.06,,,0.92,,Matches
9,Ryan Adigo,bj BEN,FW,Gladbach,16,2001,25,23,1815,20.2,8,,,8,0,0,0,0,0.4,,,0.4,,Matches
10,Mert Aflaz,de GER,DF,MSV Duisburg,16,2001,16,10,894,9.9,0,,,0,0,0,0,0,0,,,0,,Matches
11,Miran Agirbas,de GER,DF,Viktoria KÃ¶ln,16,2001,19,16,1437,16,3,,,3,0,0,6,2,0.19,,,0.19,,Matches
12,Stephen Agyemang Osei,,"MF,FW",EimsbÃ¼ttel U17,,,15,5,734,8.2,1,,,1,0,0,0,0,0.12,,,0.12,,Matches
13,Timo Ahrens,de GER,GK,Werder Bremen,16,2001,24,24,2087,23.2,0,,,0,0,0,0,0,0,,,0,,Matches
14,Antonis Aidonis,de GER,DF,Hoffenheim,16,2001,24,24,2160,24,2,,,1,1,1,6,0,0.08,,,0.04,,Matches
