player_id,player_name,age,nationality,position,secondary_position,foot,height_cm,weight_kg,club,league,matches_played,matches_started,minutes_played,goals,assists,goals_per_90,assists_per_90,xG,xA,xG_per_90,xA_per_90,shots,shots_on_target,shot_accuracy,passes_completed,pass_completion_pct,progressive_passes,key_passes,key_passes_per_90,tackles,tackles_per_90,interceptions,interceptions_per_90,blocks,clearances,aerial_wins,aerial_win_pct,dribbles_completed,dribbles_per_90,dribble_success_pct,progressive_carries,progressive_carries_per_90,carries_final_third,carries_penalty_area,touches,touches_per_90,pressures,pressure_success,pressure_success_pct,sca,sca_per_90,gca,gca_per_90,saves,save_pct,clean_sheets,goals_against,yellow_cards,red_cards,fouls_committed,fouls_drawn,market_value_eur,wage_weekly_eur,contract_expires,current_ability,potential_ability,potential_category,season,scout_recommendation,value_category
1,Reece Haaland,18,Sweden,RW,,Right,167,63,Arsenal,Premier League,16,13,1245,6,1,0.434,0.072,6.19,3.2,0.448,0.231,44,15,0.341,567,81.8,55,22,1.59,27.1,1.96,7.0,0.51,2.3,4.8,10.5,44.1,75.3,5.44,64.9,87.6,6.33,26.6,16.8,608,44.0,270.7,86.0,31.8,62,4.48,4,0.29,0.0,,,,1,0,20.6,12.1,3602911,1000,2027,67,84,Very Good,2024-25,Must Sign,Low-Medium (€1-5M)
2,Ismaël Barcola,20,Argentina,RB,LB,Right,182,73,Arsenal,Premier League,3,0,225,0,0,0.0,0.0,0.01,0.05,0.005,0.02,0,0,0.0,137,91.0,17,1,0.4,9.8,3.91,5.5,2.21,2.3,7.2,4.8,55.7,0.8,0.32,53.2,5.7,2.27,2.9,0.9,125,50.0,54.7,19.5,35.6,2,0.8,2,0.8,0.0,,,,0,0,1.6,3.7,187910,1000,2029,57,74,Decent,2024-25,Low Priority,Low (<€1M)
3,Florian Yamal,19,Uruguay,CM,,Right,174,70,Arsenal,Premier League,4,2,372,0,0,0.0,0.0,0.14,0.27,0.033,0.066,3,1,0.333,264,88.6,33,9,2.34,8.3,2.0,6.7,1.62,5.0,3.5,3.8,65.1,3.9,0.93,45.2,8.5,2.06,4.8,1.5,231,56.0,89.9,31.0,34.5,12,2.9,1,0.24,0.0,,,,0,0,4.0,7.2,371209,1000,2028,64,84,Very Good,2024-25,Recommended,Low (<€1M)
4,Francisco Fati,19,Germany,CM,RB,Right,184,74,Arsenal,Premier League,17,17,1298,1,0,0.069,0.0,0.87,1.26,0.06,0.087,23,10,0.435,706,85.8,72,18,1.25,49.8,3.45,23.3,1.62,4.9,14.7,27.1,46.4,21.9,1.52,51.6,48.4,3.36,18.0,7.7,865,60.0,280.2,102.1,36.4,34,2.36,2,0.14,0.0,,,,0,0,16.5,17.5,1726623,1000,2027,71,87,Excellent,2024-25,Must Sign,Low-Medium (€1-5M)
5,Amadou Mitoma,21,France,LW,CB,Left,172,66,Arsenal,Premier League,9,7,740,2,1,0.243,0.122,3.51,2.29,0.427,0.278,20,9,0.45,328,82.2,49,16,2.02,16.4,1.99,9.6,1.17,4.0,3.7,4.3,59.2,24.5,2.98,64.6,61.7,7.5,34.9,11.0,452,55.0,185.5,57.6,31.1,36,4.38,3,0.36,0.0,,,,0,0,20.1,11.7,1900442,1000,2029,61,75,Good,2024-25,Low Priority,Low-Medium (€1-5M)
6,Reece Ramos,21,Germany,LB,CB,Right,184,71,Arsenal,Premier League,16,14,1258,0,0,0.0,0.0,0.08,0.51,0.006,0.037,6,1,0.167,656,89.6,55,5,0.36,43.5,3.11,32.7,2.34,25.1,37.6,38.4,54.5,13.8,0.99,73.1,46.2,3.31,19.0,2.4,922,66.0,338.5,131.1,38.7,18,1.29,1,0.07,0.0,,,,3,0,17.8,37.4,1860231,1000,2028,77,88,Excellent,2024-25,Highly Recommended,Low-Medium (€1-5M)
7,Leroy Leão,20,England,LW,,Right,166,72,Arsenal,Premier League,15,14,1131,5,3,0.398,0.239,4.53,2.32,0.361,0.185,32,16,0.5,339,78.3,87,20,1.66,6.4,0.51,10.9,0.87,3.0,1.6,9.8,51.0,27.4,2.18,70.3,106.0,8.43,32.9,12.7,678,54.0,120.6,40.6,33.7,50,3.98,4,0.32,0.0,,,,2,0,27.1,17.6,3207392,1000,2027,68,86,Excellent,2024-25,Highly Recommended,Low-Medium (€1-5M)
8,Rasmus Onana,19,Belgium,CB,,Both,193,80,Arsenal,Premier League,12,10,921,0,0,0.0,0.0,0.27,0.08,0.026,0.008,3,1,0.333,634,87.1,61,4,0.39,19.8,1.93,13.4,1.31,9.0,37.3,33.6,51.6,11.2,1.09,47.9,18.8,1.84,9.1,2.1,665,65.0,210.2,70.0,33.3,11,1.07,0,0.0,0.0,,,,0,0,6.0,27.4,971993,1000,2027,69,84,Very Good,2024-25,Highly Recommended,Low (<€1M)
9,Marcus Garnacho,19,Spain,CM,,Right,174,64,Arsenal,Premier League,17,17,1298,1,2,0.069,0.139,1.5,2.76,0.104,0.192,27,12,0.444,923,88.8,86,25,1.77,25.3,1.76,32.0,2.22,18.5,20.8,31.7,63.1,21.3,1.48,53.5,32.1,2.22,15.6,3.2,966,67.0,207.9,53.2,25.6,38,2.63,3,0.21,0.0,,,,0,0,25.4,39.4,2644660,1000,2028,65,77,Good,2024-25,Monitor,Low-Medium (€1-5M)
10,Vitinha Güler,21,Switzerland,CB,,Right,194,74,Arsenal,Premier League,1,0,136,0,0,0.0,0.0,0.07,0.02,0.045,0.01,1,0,0.0,96,85.8,7,0,0.0,2.5,1.63,4.4,2.92,2.7,4.6,5.9,59.7,1.7,1.11,74.1,3.7,2.45,1.7,0.3,98,65.0,14.4,4.9,34.0,1,0.66,0,0.0,0.0,,,,0,0,0.9,3.7,203099,1000,2026,69,82,Very Good,2024-25,Recommended,Low (<€1M)
