Rank,Player,Squad,Pos,Age,MP,Min,G_per90,A_per90,Minutes_per_match,PotentialScore,LowSample
1,Jonas Pfalz,Gladbach,MF,16.0,10,900,0.4,0.0,90.0,98.34,False
2,Luis Hoffmann,Magdeburg,DF,14.0,10,900,0.1,0.0,90.0,98.03,False
3,Malik MemiÅ¡eviÄ,Werder Bremen,FW,16.0,24,2135,0.84,0.0,88.96,97.93,False
4,Kevin Schade,Energie Cottbus,"FW,MF",15.0,23,2070,0.3,0.0,90.0,97.92,False
5,Marcel Johnen,Alemannia Aachen,GK,14.0,12,1080,0.0,0.0,90.0,97.87,False
6,Jan Riecke,Union Berlin,MF,14.0,5,450,0.0,0.0,90.0,97.87,False
7,Ivan Mihaljevic,Unterhaching,DF,16.0,23,2070,0.26,0.0,90.0,97.86,False
8,Tom Kinitz,Wolfsburg,DF,15.0,26,2340,0.08,0.0,90.0,97.78,False
9,Viktor Weber,St Pauli,GK,14.0,19,1710,0.0,0.0,90.0,97.72,False
10,Levi Aalders,Alemannia Aachen,GK,15.0,10,900,0.0,0.0,90.0,97.68,False
11,Noah Atubolu,Freiburg,GK,15.0,14,1260,0.0,0.0,90.0,97.68,False
12,Jan Fauseweh,Arminia,GK,15.0,21,1890,0.0,0.0,90.0,97.68,False
13,Felix Hoffmann,Magdeburg,GK,15.0,10,900,0.0,0.0,90.0,97.68,False
14,Jonas Labonte,St Pauli,GK,15.0,7,630,0.0,0.0,90.0,97.68,False
15,Jakob Mayer,Bayern Munich,GK,15.0,17,1530,0.0,0.0,90.0,97.68,False
16,Jan Olschowsky,Gladbach,GK,15.0,18,1620,0.0,0.0,90.0,97.68,False
17,Luca Petzold,NÃ¼rnberg,GK,15.0,5,450,0.0,0.0,90.0,97.68,False
18,Lukas Schneller,Bayern Munich,GK,15.0,9,810,0.0,0.0,90.0,97.68,False
19,Veith Walde,Hombrucher U17,GK,15.0,15,1350,0.0,0.0,90.0,97.68,False
20,Daniel Adamczyk,KÃ¶ln,GK,15.0,23,2070,0.0,0.0,90.0,97.6,False
21,Nik Deubel,Dortmund,GK,15.0,16,1440,0.0,0.0,90.0,97.6,False
